Ocean,Method 3,Method 4
Ocean1,1.8390124582085539,1.0277138707107256
Ocean2,1.6868114538875365,1.0852229735271324
Ocean3,0.7658047777099973,0.6186825087177366
Ocean4,0.255044503622448,0.1054516226527061
CPL_EXP10_rst,3.1551159756330223,2.507635048414511
CPL_EXP11_rst,7.858163051998156,14.351142167241656
CPL_EXP12_rst,3.887145107599866,3.8743578795375746
CPL_EXP13_rst,2.542835993148044,1.7227441807357031
CPL_EXP20_rst,6.866844486760039,4.396392059821963
CPL_EXP21_rst,7.4147617095956715,4.438203429954853
CPL_EXP22_rst,0.27071577205509995,0.23450582398415357
CPL_EXP23_rst,1.7471833406847683,1.299430764877247
