Neur,Params,T,RMSE
1,6,552.5445076519973,3.0121040862971875
4,21,578.5071685859875,3.7294837434969605
8,41,566.3980545349914,3.5456301063627724
16,81,596.1803826989926,3.257512074271504
32,161,598.4117261909996,3.488897859277877
64,321,624.3789018099924,2.807949917217501
8_8,113,639.4581900170015,2.9280692143713196
8_16,193,644.0219776400045,2.842622217371029
8_32,353,640.3521864909999,2.8428307948198794
8_64,673,755.6544602000067,3.037396063069311
16_16,353,781.6008199709904,2.465143468750067
16_32,641,713.0691729389946,2.5346808533298923
16_64,1217,781.923385194008,2.7854905906394283
32_32,1217,734.1014894830005,2.6851175249119446
32_64,2305,805.2806629020051,2.47717664307073
64_64,4481,871.11553271499,2.355434126608927
16_16_16,625,761.4579706070072,2.7407156000557187
16_16_32,913,818.535474215023,2.3500257751460256
16_16_64,1489,972.3967452049837,2.5122911672770294
32_32_32,2273,1016.9887309310143,2.3483489305835463
32_32_64,3361,1079.1746774459898,2.7529160019807946
32_64_64,6465,1126.7957904729992,2.4094198101519235
64_64_64,8641,1158.506692025985,2.4639139805443855
32_32_32_32,3329,1206.7356279760133,2.290807449818799
32_32_32_64,4417,1235.0372278790164,2.105101378133439
32_32_32_96,5505,1300.7953130250098,2.1396078529123677
32_32_64_64,7521,1352.062732767983,2.2183515360656796
32_32_64_96,9633,1391.394784876,2.337930953573585
32_32_96_96,13761,1497.1708608369809,1.9904391262913568
64_64_64_64,12801,1452.5735397580138,2.5958036089817083
64_64_64_96,14913,1530.4621947740088,2.1523683271191505
64_64_96_96,20065,1656.923274812987,2.2503046574018635
64_96_96_96,25217,1687.7211527239997,2.3074440930790354
96_96_96_96,28417,1886.4325837490032,2.2029901440854225
64_64_64_64_64,16961,1821.187320934987,2.1149687295840334
64_64_64_64_96,19073,1956.1775409359834,2.6492334900242653
64_64_64_64_128,21185,1853.490934174013,2.7370475461254498
64_64_64_96_96,24225,1760.1391212190501,2.0754200803883487
64_64_64_96_128,27361,1849.2043629889959,2.195458304431879
64_64_64_128_128,33537,1935.839413069014,2.1373118207706527
96_96_96_96_96,37729,2044.7580525699886,2.0436512114231054
96_96_96_96_128,40865,2143.443962129997,2.217835812725925
96_96_96_128_128,48065,2252.825305240054,2.3581868520505123
96_96_128_128_128,55265,2390.438168202003,2.7887420107620184
96_128_128_128_128,62465,2530.0636307009845,3.538009357823203
128_128_128_128_128,66689,2604.7162116760155,2.220660081078436
